City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
291,Mana,NG,2019-11-06 06:11:46,13.03,5.27,73.72,37,1,0.76
292,Saint Anthony,US,2019-11-06 06:11:46,43.97,-111.68,37.4,86,1,4.7
293,Taoudenni,ML,2019-11-06 06:11:47,22.68,-3.98,71.8,32,100,6.55
294,Saldanha,PT,2019-11-06 06:11:47,41.42,-6.55,44.11,85,82,7.74
295,Jeremoabo,BR,2019-11-06 06:11:47,-10.08,-38.34,67.73,86,42,12.66
296,Alyangula,AU,2019-11-06 06:11:48,-13.85,136.42,93.2,38,1,8.05
297,Griffith,AU,2019-11-06 06:11:48,-34.29,146.06,84.2,24,40,21.92
298,Calabozo,VE,2019-11-06 06:11:48,8.92,-67.43,73.62,95,39,4.76
299,Havre-Saint-Pierre,CA,2019-11-06 06:11:48,50.23,-63.6,44.6,93,90,11.41
300,Ryotsu,JP,2019-11-06 06:11:48,38.08,138.43,62.6,45,22,8.05
301,Hede,SE,2019-11-06 06:11:49,60.45,15.49,30.0,92,100,5.82
302,Savonlinna,FI,2019-11-06 06:11:49,61.87,28.88,17.6,92,90,5.82
303,Ampanihy,MG,2019-11-06 06:11:49,-24.69,44.75,81.19,56,91,8.3
